symbol,strategy,date,year,passed,reject,rank,risk_pct,avg_turnover_20,turnover_drift,cb_purity,cb_count,cluster_fraction,single_tower,ema_sep,contained,upper_half,base_ret,base_bars,base_exit,base_risk,base_r,auth_ret,auth_bars,auth_exit,auth_risk,auth_r
BALRAMCHIN,S3,2025-07-28,2025,False,liquidity,1.4019981038693856,0.013658078826138877,19.540163674000002,0.10267794622015436,0.0,0,0.45454545454545453,False,0.0018118898899855216,False,True,-7.000000000000008,6,stop,7.000000000000008,-1.0,0.20333813437262482,1,ema10,2.0427010082182413,0.09954375777686027
BALRAMCHIN,S3,2025-07-29,2025,False,liquidity,1.3644394069987436,0.02464204015928157,19.555724552,0.12165615545682984,0.0,0,0.45454545454545453,False,0.0032581758292994692,False,True,-6.999999999999999,5,stop,6.999999999999999,-1.0,-0.72714974211551,1,ema10,2.6621290268030884,-0.27314594251231067
BALRAMCHIN,S3,2025-07-30,2025,False,liquidity,1.3784609286638774,0.026621290268030885,19.126660018000003,0.1323368444004116,0.0,0,0.45454545454545453,False,0.004097207612489155,False,True,-7.0000000000000115,4,stop,7.0000000000000115,-1.0,-1.9491525423728808,1,stop,1.9491525423728808,-1.0
BALRAMCHIN,S3,2025-07-31,2025,False,liquidity,1.4621502070365417,0.019491525423728808,19.28344017,0.21569783561164257,0.0,0,0.45454545454545453,False,0.005320511056174762,False,True,-7.0000000000000115,25,stop,7.0000000000000115,-1.0,1.2962798543904943,1,ema10,7.0000000000000115,0.1851828363414989
BALRAMCHIN,S3,2025-08-04,2025,False,liquidity,1.3310030512276372,0.02488430186694732,17.84836599325,0.18057857155933288,0.0,0,0.45454545454545453,False,0.011925306159227001,False,False,-7.000000000000013,23,stop,7.000000000000013,-1.0,-2.2485282488357807,1,stop,2.2485282488357807,-1.0
BALRAMCHIN,S3,2025-08-05,2025,False,liquidity,1.358846487670651,0.022485282488357808,17.28865555175,0.13346428452669623,0.0,0,0.45454545454545453,False,0.013450970839180352,False,False,-7.000000000000011,30,stop,7.000000000000011,-1.0,0.3465572275421755,1,ema10,7.000000000000011,0.04950817536316786
BALRAMCHIN,S3,2025-08-12,2025,False,liquidity,1.1973897262932283,0.04677988767050029,14.989903193,-0.2371407138517143,0.0,0,0.45454545454545453,False,0.021013423932136916,False,False,-7.000000000000006,25,stop,7.000000000000006,-1.0,1.8146999817618175,2,ema10,2.496169979937995,0.7269937529682554
BALRAMCHIN,S3,2025-08-14,2025,False,liquidity,1.1173479645496602,0.054450831269897505,15.2318248705,-0.20926233376356262,0.0,0,0.45454545454545453,False,0.018509763966585185,False,False,-6.999999999999998,15,stop,6.999999999999998,-1.0,0.08060904612629566,6,ema10,4.234034930586668,0.019038351701818973
BALRAMCHIN,S3,2025-08-18,2025,False,liquidity,1.2486676415211153,0.04234034930586667,15.607879019250001,-0.19605860643394069,0.0,0,0.45454545454545453,False,0.017500172211764992,False,False,-7.000000000000014,14,stop,7.000000000000014,-1.0,-2.453077258838927,5,ema10,6.6584897424705485,-0.36841346216878657
BALRAMCHIN,S3,2025-08-19,2025,False,liquidity,0.9379120206324245,0.06658489742470548,15.62812003225,-0.19472446412646172,0.0,0,0.45454545454545453,False,0.013670376641333191,False,False,-7.0000000000000115,6,stop,7.0000000000000115,-1.0,-4.291220556745174,4,ema10,8.417387580299799,-0.5098043206170549
