symbol,strategy,date,year,cb_purity,cluster_fraction,single_tower,avg_turnover_20,ret,r,exit,score
LTFOODS,S3,2025-03-19,2025,0.2,0.09090909090909091,True,19.891816145499998,-7.0000000000000036,-1.0,stop,-0.024467807272632536
LTFOODS,S3,2025-03-20,2025,0.2,0.09090909090909091,True,20.083186103499997,-7.000000000000008,-1.0,stop,-0.024069119860132493
LTFOODS,S3,2025-03-21,2025,0.2,0.09090909090909091,True,19.797991553499998,-7.000000000000008,-1.0,stop,-0.02466327517263245
LTFOODS,S3,2025-03-25,2025,0.2,0.09090909090909091,True,20.00552236075,-7.000000000000008,-1.0,stop,-0.024230919324194966
LTFOODS,S3,2025-03-26,2025,0.2,0.09090909090909091,True,20.015382057749996,-7.000000000000001,-1.0,stop,-0.024210378288778367
LTFOODS,S3,2025-03-27,2025,0.2,0.09090909090909091,True,22.214653029749996,-7.000000000000004,-1.0,stop,-0.019628563763778306
LTFOODS,S3,2025-03-28,2025,0.2,0.09090909090909091,True,23.64682189725,-6.999999999999999,-1.0,stop,-0.016644878623153336
LTFOODS,S3,2025-04-01,2025,0.2,0.09090909090909091,True,23.112210300749997,-7.000000000000008,-1.0,stop,-0.017758652782528306
LTFOODS,S3,2025-04-02,2025,0.3333333333333333,0.18181818181818182,False,23.540467706999998,-7.0000000000000036,-1.0,stop,1.6533355703491792
LTFOODS,S3,2025-04-03,2025,0.3333333333333333,0.18181818181818182,False,23.13834982,-6.999999999999999,-1.0,stop,1.6524978247512627
LTFOODS,S3,2025-04-11,2025,0.4,0.18181818181818182,False,32.7157601455,-7.0000000000000036,-1.0,stop,1.7613396518182765
LTFOODS,S3,2025-04-15,2025,0.4,0.18181818181818182,False,33.808913853,21.000000000000032,3.0,target,1.7636170553755681
LTFOODS,S3,2025-04-17,2025,0.4,0.18181818181818182,False,34.62874541325,-7.000000000000009,-1.0,stop,1.7653250377927556
LTFOODS,S3,2025-04-21,2025,0.4,0.18181818181818182,False,35.63079315425,-7.000000000000013,-1.0,stop,1.7674126372531722
LTFOODS,S3,2025-04-22,2025,0.4,0.18181818181818182,False,36.06728194175,-7.000000000000008,-1.0,stop,1.7683219888937973
LTFOODS,S3,2025-04-23,2025,0.4,0.18181818181818182,False,36.3031534175,-7.0000000000000115,-1.0,stop,1.7688133878016097
LTFOODS,S3,2025-04-24,2025,0.4,0.18181818181818182,False,36.601125275,-7.000000000000002,-1.0,stop,1.7694341625047347
LTFOODS,S3,2025-04-25,2025,0.4,0.18181818181818182,False,37.09682544125,-7.000000000000013,-1.0,stop,1.7704668711844223
LTFOODS,S3,2025-04-28,2025,0.4,0.18181818181818182,False,36.85334655525,21.000000000000007,3.0,target,1.7699596235052555
LTFOODS,S3,2025-05-09,2025,0.4,0.18181818181818182,False,33.067490181749996,21.000000000000004,3.0,target,1.7620724227271305
LTFOODS,S3,2025-05-12,2025,0.4,0.18181818181818182,False,33.522244372749995,21.000000000000036,3.0,target,1.763019827291714
LTFOODS,S3,2025-05-13,2025,0.4,0.18181818181818182,False,28.427996112250003,21.0,3.0,target,1.752406810082339
LTFOODS,S3,2025-05-14,2025,0.4,0.18181818181818182,False,22.918710943249998,21.000000000000007,3.0,target,1.7409291326469223
LTFOODS,S3,2025-05-15,2025,0.16666666666666666,0.09090909090909091,True,22.285570700749997,21.00000000000004,3.0,target,-0.19725859639363952
LTFOODS,S3,2025-05-16,2025,0.16666666666666666,0.09090909090909091,True,25.026514823499998,21.00000000000003,3.0,target,-0.19154829613791036
LTFOODS,S3,2025-06-19,2025,0.1111111111111111,0.45454545454545453,False,47.390695385,-7.000000000000004,-1.0,stop,1.1737306153854166
LTFOODS,S3,2025-06-23,2025,0.1111111111111111,0.45454545454545453,False,53.91763652725,-7.000000000000009,-1.0,stop,1.1873284094317706
LTFOODS,S3,2025-08-01,2025,0.0,0.18181818181818182,False,47.544957362,-7.0000000000000115,-1.0,stop,0.7922338126859849
LTFOODS,S3,2025-08-05,2025,0.0,0.18181818181818182,False,46.130446287999995,-7.000000000000006,-1.0,stop,0.7892869146151515
LTFOODS,S3,2025-08-06,2025,0.0,0.18181818181818182,False,44.736554868249996,-7.000000000000011,-1.0,stop,0.7863829741573389
LTFOODS,S3,2025-08-07,2025,0.0,0.18181818181818182,False,44.185096546,-7.000000000000004,-1.0,stop,0.7852341026526515
LTFOODS,S3,2025-08-08,2025,0.0,0.18181818181818182,False,44.455242313499994,-7.000000000000006,-1.0,stop,0.7857969063349431
LTFOODS,S3,2025-08-11,2025,0.0,0.18181818181818182,False,45.36075148125,-7.000000000000004,-1.0,stop,0.7876833837677557
LTFOODS,S3,2025-08-12,2025,0.0,0.18181818181818182,False,43.0969948335,-7.0000000000000115,-1.0,stop,0.7829672240849432
LTFOODS,S3,2025-08-13,2025,0.0,0.18181818181818182,False,39.952829602499996,-7.000000000000011,-1.0,stop,0.7764168798536932
LTFOODS,S3,2025-08-14,2025,0.0,0.18181818181818182,False,34.64443450225,-7.000000000000002,-1.0,stop,0.765357723394839
LTFOODS,S3,2025-08-18,2025,0.0,0.18181818181818182,False,33.48510209449999,-7.000000000000004,-1.0,stop,0.7629424475453599
LTFOODS,S3,2025-08-19,2025,0.0,0.18181818181818182,False,33.039733924749996,-7.0000000000000115,-1.0,stop,0.762014597191714
LTFOODS,S3,2025-08-20,2025,0.0,0.18181818181818182,False,32.68680118675,-7.000000000000006,-1.0,stop,0.761279320654214
LTFOODS,S3,2025-08-21,2025,0.0,0.18181818181818182,False,31.989170613249996,-7.000000000000008,-1.0,stop,0.7598259236260889
LTFOODS,S3,2025-09-02,2025,0.0,0.18181818181818182,False,29.518340741499998,-7.000000000000006,-1.0,stop,0.7546783613932765
LTFOODS,S3,2025-09-03,2025,0.0,0.18181818181818182,False,30.3866350585,-7.000000000000004,-1.0,stop,0.7564873078870265
LTFOODS,S3,2025-09-04,2025,0.0,0.18181818181818182,False,30.788052931499998,-7.0000000000000115,-1.0,stop,0.7573235951224432
LTFOODS,S3,2025-09-05,2025,0.0,0.18181818181818182,False,29.972147403749993,-7.000000000000001,-1.0,stop,0.7556237919396307
LTFOODS,S3,2025-09-08,2025,0.0,0.18181818181818182,False,29.3794326765,-7.0000000000000036,-1.0,stop,0.7543889695911932
LTFOODS,S3,2025-09-09,2025,0.0,0.18181818181818182,False,28.031743262499997,-7.000000000000001,-1.0,stop,0.7515812833120266
LTFOODS,S3,2025-09-10,2025,0.0,0.18181818181818182,False,27.9435064105,-7.000000000000008,-1.0,stop,0.7513974565370265
LTFOODS,S3,2025-09-11,2025,0.0,0.18181818181818182,False,29.446886822249997,-7.0000000000000036,-1.0,stop,0.7545294990615057
LTFOODS,S3,2025-09-12,2025,0.0,0.18181818181818182,False,30.262934899250002,-7.000000000000009,-1.0,stop,0.7562295992219223
