date,equity,positions,cash
2025-02-24,988739.5920382999,0,988739.5920382999
2025-02-25,988739.5920382999,0,988739.5920382999
2025-02-27,988739.5920382999,0,988739.5920382999
2025-02-28,988739.5920382999,0,988739.5920382999
2025-03-03,988739.5920382999,0,988739.5920382999
2025-03-04,988739.5920382999,0,988739.5920382999
2025-03-05,988739.5920382999,0,988739.5920382999
2025-03-06,988739.5920382999,0,988739.5920382999
2025-03-07,988739.5920382999,0,988739.5920382999
2025-03-10,988739.5920382999,0,988739.5920382999
2025-03-11,988739.5920382999,0,988739.5920382999
2025-03-12,988739.5920382999,0,988739.5920382999
2025-03-13,988739.5920382999,0,988739.5920382999
2025-03-17,988739.5920382999,0,988739.5920382999
2025-03-18,988739.5920382999,0,988739.5920382999
2025-03-19,988739.5920382999,0,988739.5920382999
2025-03-20,988739.5920382999,0,988739.5920382999
2025-03-21,988739.5920382999,0,988739.5920382999
2025-03-24,993446.224055975,1,713795.5240559749
2025-03-25,993712.1740559749,1,713795.5240559749
2025-03-26,989119.0240559749,1,713795.5240559749
2025-03-27,988917.8740559749,1,713795.5240559749
2025-03-28,990280.474055975,1,713795.5240559749
2025-04-01,986207.4586516249,0,986207.4586516249
2025-04-02,986207.4586516249,0,986207.4586516249
2025-04-03,986207.4586516249,0,986207.4586516249
2025-04-04,986207.4586516249,0,986207.4586516249
2025-04-07,986207.4586516249,0,986207.4586516249
2025-04-08,986207.4586516249,0,986207.4586516249
2025-04-09,986207.4586516249,0,986207.4586516249
2025-04-11,986207.4586516249,0,986207.4586516249
2025-04-15,986207.4586516249,0,986207.4586516249
2025-04-16,986207.4586516249,0,986207.4586516249
2025-04-17,986207.4586516249,0,986207.4586516249
2025-04-21,986207.4586516249,0,986207.4586516249
2025-04-22,983301.9885492123,1,781474.5885492123
2025-04-23,980720.4544723661,0,980720.4544723661
2025-04-24,980720.4544723661,0,980720.4544723661
2025-04-25,980720.4544723661,0,980720.4544723661
2025-04-28,980720.4544723661,0,980720.4544723661
2025-04-29,980720.4544723661,0,980720.4544723661
2025-04-30,980720.4544723661,0,980720.4544723661
2025-05-02,980720.4544723661,0,980720.4544723661
2025-05-05,980720.4544723661,0,980720.4544723661
