symbol,setup_date,entry_date,exit_date,entry,stop,avg_exit,shares,stop_pct,risk_amount,pnl,r_multiple,pnl_pct,holding_bars,exit_reason,mfe_pct,mae_pct,confluence,levels,rs_rank,adr20,partials
SAIL,2026-04-30,2026-05-04,2026-05-11,185.49269999999999,179.7,180.62964,495,3.1228722208475035,2867.3864999999983,-2615.6298420449966,-0.9121999570148629,-2.848683905620002,5,ema9_close,2.6994593318227658,-3.009660218434462,3,"ema9,avwap,gap_base",77.11340206185568,3.2686682166367733,0
SONACOMS,2026-04-30,2026-05-04,2026-05-04,614.307,586.15,585.856925,107,4.5835388494677805,3012.799000000004,-3191.838195971247,-1.059426200012428,-4.855921145900986,0,stop_same_day,0.0,-7.21251751974176,3,"ema9,avwap,swing_high",84.3298969072165,3.697079492425112,0
BHARATFORG,2026-05-06,2026-05-07,2026-05-12,1905.9524999999999,1831.2,1912.0435000000002,40,3.922054720671152,2990.099999999993,68.01218400001397,0.022745789104048068,0.08921022953092218,3,ema9_close,7.242966443287543,-2.6156213231966676,3,"ema9,ema21,avwap",90.10309278350516,3.0876865972709338,0
SAILIFE,2026-05-08,2026-05-11,2026-05-12,1124.562,1080.0,1079.46,68,3.962609442609647,3030.215999999993,-3239.290520399987,-1.0689965733135838,-4.236015915529763,1,stop,1.3194470380468302,-4.593966362014697,1,avwap,89.69072164948454,3.3765229557871357,0
CARBORUNIV,2026-05-08,2026-05-11,2026-05-13,1038.068775,1001.0,1000.4995,82,3.5709363283757343,3039.6395499999967,-3272.91753833249,-1.0767452799896928,-3.8449888367222953,2,stop,1.1493674877177682,-3.6672690593164248,1,avwap,91.34020618556701,3.3057460582680336,0
CPPLUS,2026-05-08,2026-05-11,2026-05-15,2528.56365,2422.2,2420.9889,28,4.206484974186837,2978.1822000000066,-3171.468592110008,-1.0649007948909242,-4.47948919270829,4,stop,1.397487067410779,-7.02231284547652,1,avwap,99.38144329896907,5.402073387956178,0
ANTHEM,2026-05-11,2026-05-12,2026-05-15,790.645125,763.8,782.90835,113,3.39534440309109,3033.4991250000057,-1078.7388490762382,-0.35560875563998595,-1.2074141981524134,3,ema9_close,4.427381374165805,-1.8712725257112013,2,"ema9,avwap",90.51546391752578,3.2188303165345635,0
WELCORP,2026-05-11,2026-05-12,2026-05-18,1342.8711,1276.1,1297.25105,45,4.97226427763619,3004.699500000007,-2189.528571262499,-0.7287013464283181,-3.6232956739109192,4,ema9_close,2.571274338989042,-4.89779696651452,2,"avwap,swing_high",99.17525773195877,4.032553051060527,0
VEDL,2026-05-11,2026-05-12,2026-06-01,301.700775,294.2,335.3218512385671,164,2.48616365006024,1230.1271000000054,5393.71403581641,4.384680278823534,10.90103272634707,13,ema9_close,19.32352510529678,-1.1934921280861803,2,"ema9,swing_high",80.82474226804123,3.985588728520459,2
VTL,2026-05-12,2026-05-13,2026-05-18,618.309,600.05,599.749975,132,2.953054217227958,2410.188000000002,-2634.692652405012,-1.093148191097545,-3.228125875775719,3,stop,2.481121898597628,-5.055562833470006,2,"ema9,avwap",91.54639175257732,4.311043523309972,0
ONESOURCE,2026-05-14,2026-05-15,2026-05-25,1850.82495,1760.1,1805.8966,33,4.9018655167794245,2993.923350000001,-1621.408132822499,-0.5415663473223182,-2.654685402987461,6,ema9_close,3.618659344310231,-3.9887591746588433,2,"ema9,avwap",99.17525773195877,4.914777676149718,0
APARINDS,2026-05-14,2026-05-15,2026-05-18,12805.3995,12350.0,12343.825000000003,6,3.5563084150556925,2732.396999999997,-2942.9766490499856,-1.077067735416921,-3.830385051048174,1,stop,1.7070962916853978,-6.984549759654115,3,"ema9,avwap,swing_high",94.22680412371133,4.156161566584669,0
