date,equity,positions,cash
2025-10-14,598050.8629932556,8,1025.4029932554768
2025-10-15,606639.6029932555,8,1025.4029932554768
2025-10-16,604766.8129932556,8,1025.4029932554768
2025-10-17,597494.6830275981,7,194886.18302759802
2025-10-20,609888.1763907778,8,129682.5863907779
2025-10-21,612388.9563907778,8,129682.5863907779
2025-10-23,610816.7663907779,8,129682.5863907779
2025-10-24,609479.2524007164,8,44505.45240071637
2025-10-27,619217.4624007164,8,44505.45240071637
2025-10-28,627718.7832257487,8,64235.30322574867
2025-10-29,630774.2406696727,8,84122.21066967273
2025-10-30,631914.1606696727,8,84122.21066967273
2025-10-31,632350.9517013683,8,51382.21170136832
2025-11-03,641230.3917013684,8,51382.21170136832
2025-11-04,642708.2542712616,8,15672.904271261592
2025-11-06,628091.0380520241,8,6.678052024115459
2025-11-07,637662.7423321791,8,31018.512332179132
2025-11-10,639629.6277980134,8,41464.61779801342
2025-11-11,640205.5977980135,8,41464.61779801342
2025-11-12,641657.3405276334,6,164339.21052763343
2025-11-13,640439.5105276334,6,164339.21052763343
2025-11-14,639597.3590015934,5,245585.77900159342
2025-11-17,643613.6590015935,5,245585.77900159342
2025-11-18,638877.7348467234,8,634.5348467234435
2025-11-19,636765.3336256011,7,188.16362560124253
2025-11-20,636370.0237640887,7,-63.536235911247786
2025-11-21,619029.2149200772,3,349387.8649200773
2025-11-24,624531.6297202767,3,364115.27972027665
2025-11-25,628205.2297202767,3,364115.27972027665
2025-11-26,627132.1297202767,3,364115.27972027665
2025-11-27,629814.1297202767,3,364115.27972027665
2025-11-28,632957.3797202767,3,364115.27972027665
2025-12-01,632076.702002785,3,379805.6020027851
2025-12-02,631639.8520027851,3,379805.6020027851
2025-12-03,628716.4144236351,1,524125.1644236351
2025-12-04,628878.4144236351,1,524125.1644236351
2025-12-05,629101.1644236351,1,524125.1644236351
2025-12-08,628392.4144236351,1,524125.1644236351
2025-12-09,629769.4144236351,1,524125.1644236351
2025-12-10,629263.1644236351,1,524125.1644236351
2025-12-11,629789.6644236351,1,524125.1644236351
2025-12-12,629971.9144236351,1,524125.1644236351
2025-12-15,631551.4144236351,1,524125.1644236351
2025-12-16,630316.1644236351,1,524125.1644236351
2025-12-17,630883.1644236351,1,524125.1644236351
